sale_id,product_id,quantity_sold,metric,sale_date,product_name
1,1,2.01,units,2025-01-20 16:58:27.615999,
2,1,16.48,units,2025-01-20 16:58:27.615999,
3,1,18.27,units,2025-01-13 16:58:27.615999,
4,1,19.94,units,2024-12-24 16:58:27.615999,
5,1,19.46,units,2025-01-15 16:58:27.615999,
6,1,19.88,units,2025-01-06 16:58:27.615999,
7,2,2.47,units,2025-03-23 16:58:27.616025,
8,2,8.46,units,2025-03-04 16:58:27.616025,
9,2,9.64,units,2025-03-02 16:58:27.616025,
10,2,19.95,units,2025-03-24 16:58:27.616025,
11,2,1.55,units,2025-03-14 16:58:27.616025,
12,2,16.14,units,2025-03-21 16:58:27.616025,
13,2,8.55,units,2025-03-21 16:58:27.616025,
14,2,8.44,units,2025-03-04 16:58:27.616025,
15,2,7.85,units,2025-03-22 16:58:27.616025,
16,3,12.11,units,2024-08-02 16:58:27.616041,
17,3,15.02,units,2024-07-07 16:58:27.616041,
18,3,18.92,units,2024-07-30 16:58:27.616041,
19,3,9.12,units,2024-07-08 16:58:27.616041,
20,3,3.31,units,2024-07-19 16:58:27.616041,
21,3,3.56,units,2024-08-04 16:58:27.616041,
22,3,15.31,units,2024-07-17 16:58:27.616041,
23,6,4.69,units,2024-07-08 16:58:27.616057,
24,6,5.08,units,2024-07-07 16:58:27.616057,
25,6,15.63,units,2024-07-16 16:58:27.616057,
26,6,12.59,units,2024-07-07 16:58:27.616057,
27,6,15.24,units,2024-06-24 16:58:27.616057,
28,6,9.52,units,2024-07-19 16:58:27.616057,
29,6,5.19,units,2024-06-23 16:58:27.616057,
30,6,18.01,units,2024-07-14 16:58:27.616057,
31,6,14.74,units,2024-07-05 16:58:27.616057,
32,6,14.57,units,2024-07-09 16:58:27.616057,
33,6,16.44,units,2024-06-23 16:58:27.616057,
34,6,12.71,units,2024-07-05 16:58:27.616057,
35,6,8.25,units,2024-06-29 16:58:27.616057,
36,6,9.46,units,2024-10-08 16:58:27.616075,
37,6,1.81,units,2024-10-09 16:58:27.616075,
38,6,10.54,units,2024-10-17 16:58:27.616075,
39,6,8.77,units,2024-10-09 16:58:27.616075,
40,6,14.16,units,2024-11-01 16:58:27.616075,
41,6,10.61,units,2024-10-10 16:58:27.616075,
42,8,1.42,units,2024-10-14 16:58:27.616075,
43,10,11.68,units,2024-10-25 16:58:27.616075,
44,3,16.59,units,2024-11-04 16:58:27.616075,
45,6,16.68,units,2024-10-14 16:58:27.616075,
46,8,18.21,units,2024-10-19 16:58:27.616075,
47,8,2.25,units,2024-10-13 16:58:27.616075,
48,3,18.21,units,2024-10-11 16:58:27.616075,
49,6,3.96,units,2024-10-12 16:58:27.616075,
50,8,8.36,units,2024-10-17 16:58:27.616075,
51,6,17.97,units,2025-03-27 16:58:27.616088,
52,8,3.49,units,2025-03-23 16:58:27.616088,
53,8,4.19,units,2025-03-31 16:58:27.616088,
54,6,4.81,units,2025-03-25 16:58:27.616088,
55,8,2.08,units,2025-04-02 16:58:27.616088,
56,8,12.58,units,2025-04-10 16:58:27.616088,
57,8,1.34,units,2025-04-10 16:58:27.616088,
58,6,8.89,units,2025-03-29 16:58:27.616088,
59,8,15.73,units,2024-08-22 16:58:27.616100,
60,8,3.84,units,2024-08-28 16:58:27.616100,
61,8,14.94,units,2024-09-06 16:58:27.616100,
62,8,16.04,units,2024-08-15 16:58:27.616100,
63,8,10.05,units,2024-08-16 16:58:27.616100,
64,8,3.32,units,2024-08-12 16:58:27.616100,
65,8,7.35,units,2024-08-27 16:58:27.616100,
66,8,5.25,units,2024-08-27 16:58:27.616100,
67,8,17.51,units,2024-08-11 16:58:27.616100,
68,8,15.58,units,2024-09-07 16:58:27.616100,
69,10,15.18,units,2024-08-10 16:58:27.616100,
70,6,16.86,units,2024-08-15 16:58:27.616100,
71,8,14.33,units,2024-09-02 16:58:27.616100,
72,8,2.22,units,2025-03-09 16:58:27.616114,
73,8,16.92,units,2025-02-16 16:58:27.616114,
74,8,16.84,units,2025-03-09 16:58:27.616114,
75,8,2.38,units,2025-03-07 16:58:27.616114,
76,8,15.94,units,2025-03-08 16:58:27.616114,
77,8,5.99,units,2025-02-15 16:58:27.616114,
78,8,5.78,units,2025-03-03 16:58:27.616114,
79,8,14.77,units,2025-02-24 16:58:27.616114,
80,8,14.15,units,2025-02-18 16:58:27.616114,
81,8,4.14,units,2025-03-01 16:58:27.616114,
82,8,13.01,units,2025-02-21 16:58:27.616114,
83,6,12.5,units,2024-11-04 16:58:27.616126,
84,8,13.95,units,2024-11-04 16:58:27.616126,
85,6,7.76,units,2024-10-26 16:58:27.616126,
86,8,17.19,units,2024-11-01 16:58:27.616126,
87,6,1.84,units,2024-11-05 16:58:27.616126,
88,8,15.05,units,2024-10-30 16:58:27.616126,
89,8,11.01,units,2024-11-20 16:58:27.616126,
90,10,19.91,units,2025-01-17 16:58:27.616138,
91,10,13.12,units,2025-01-21 16:58:27.616138,
92,10,19.69,units,2025-01-16 16:58:27.616138,
93,10,8.65,units,2025-02-01 16:58:27.616138,
94,10,15.02,units,2025-01-30 16:58:27.616138,
95,10,12.3,units,2025-01-17 16:58:27.616138,
96,10,19.35,units,2025-01-15 16:58:27.616138,
97,10,10.63,units,2025-01-29 16:58:27.616138,
98,10,4.33,units,2025-02-02 16:58:27.616138,
99,10,12.02,units,2025-01-19 16:58:27.616138,
100,10,2.2,units,2025-01-25 16:58:27.616138,
101,10,1.32,units,2025-01-18 16:58:27.616138,
102,10,14.01,units,2025-01-17 16:58:27.616138,
